step,timestamp,mode,total_waiting_time,baseline_waiting_time,total_queue,total_throughput,rl_gain
280,1776324096.89296,sumo,18892.0,18934.0,135.0,16.937,42.0
281,1776324098.906668,sumo,19027.0,19070.0,140.0,17.243,43.0
282,1776324100.9173133,sumo,19162.0,19204.4,137.0,17.241,42.400000000001455
283,1776324102.9294133,sumo,19297.0,19339.0,135.0,16.445,42.0
284,1776324104.9410963,sumo,19433.0,19475.2,136.0,16.529,42.20000000000073
285,1776324106.954525,sumo,19571.0,19613.8,139.0,16.676,42.79999999999927
286,1776324108.9679837,sumo,19710.0,19753.0,140.0,16.843,43.0
287,1776324110.9613705,sumo,19851.0,19894.4,142.0,16.674,43.400000000001455
288,1776324112.9780095,sumo,19994.0,20037.6,143.0,16.667,43.599999999998545
289,1776324114.987264,sumo,20138.0,20182.0,145.0,15.901,44.0
290,1776324116.9985163,sumo,20283.0,20327.2,146.0,15.495,44.20000000000073
291,1776324119.0159373,sumo,20428.0,20472.2,146.0,16.152,44.20000000000073
292,1776324121.021298,sumo,20573.0,20617.0,145.0,15.842,44.0
293,1776324123.0372791,sumo,20718.0,20762.2,146.0,15.741,44.20000000000073
294,1776324125.0406222,sumo,20863.0,20907.0,145.0,15.677,44.0
295,1776324127.0540404,sumo,21008.0,21052.0,145.0,17.015,44.0
296,1776324129.070791,sumo,21153.0,21197.2,146.0,16.871,44.20000000000073
297,1776324131.0797129,sumo,21298.0,21342.2,146.0,16.713,44.20000000000073
298,1776324133.0785706,sumo,21443.0,21488.0,150.0,16.159,45.0
299,1776324135.1007228,sumo,21588.0,21632.0,145.0,16.463,44.0
300,1776324137.1077633,sumo,21733.0,21777.4,147.0,16.444,44.400000000001455
301,1776324139.1234834,sumo,21878.0,21923.0,150.0,16.792,45.0
302,1776324141.133892,sumo,22023.0,22067.0,145.0,16.218,44.0
303,1776324143.1467748,sumo,22168.0,22212.4,147.0,16.567,44.400000000001455
304,1776324145.1592348,sumo,22313.0,22357.0,145.0,15.896,44.0
305,1776324147.1647918,sumo,22460.0,22504.6,148.0,15.76,44.599999999998545
306,1776324149.1803753,sumo,22610.0,22655.2,151.0,15.479,45.20000000000073
307,1776324151.1925602,sumo,22762.0,22807.4,152.0,15.731,45.400000000001455
308,1776324153.1991994,sumo,22915.0,22960.8,154.0,15.395,45.79999999999927
309,1776324155.2111099,sumo,23070.0,23116.2,156.0,16.262,46.20000000000073
310,1776324157.2187881,sumo,23225.0,23271.0,155.0,15.989,46.0
